2025-02-11 21:03:53,219 - INFO - Starting event ingestion...
2025-02-11 21:03:53,317 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11012d8b0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,318 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11011f430>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,319 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11012dfd0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,319 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11010fd00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,321 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11013fdc0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,322 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110155c70>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,322 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110148670>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,324 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11015fd60>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,325 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110167b50>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,325 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11015f940>: Failed to establish a new connection: [Errno 61] Connection refused'))
